scale,match_index,date,home_team,away_team,bankroll
0.0,0,,,,100.0
0.0,1,2026-06-28,South Africa,Canada,100.0
0.0,2,2026-06-29,Brazil,Japan,100.0
0.0,3,2026-06-29,Germany,Paraguay,100.0
0.0,4,2026-06-29,Netherlands,Morocco,100.0
0.0,5,2026-06-30,France,Sweden,100.0
0.0,6,2026-06-30,Ivory Coast,Norway,100.0
0.0,7,2026-06-30,Mexico,Ecuador,100.0
0.0,8,2026-07-01,Belgium,Senegal,100.0
0.0,9,2026-07-01,England,DR Congo,100.0
0.0,10,2026-07-01,United States,Bosnia and Herzegovina,100.0
0.05,0,,,,100.0
0.05,1,2026-06-28,South Africa,Canada,100.24867051839828
0.05,2,2026-06-29,Brazil,Japan,99.67686854911956
0.05,3,2026-06-29,Germany,Paraguay,99.42632740914719
0.05,4,2026-06-29,Netherlands,Morocco,96.15705476099369
0.05,5,2026-06-30,France,Sweden,95.90527553762217
0.05,6,2026-06-30,Ivory Coast,Norway,96.27701373640146
0.05,7,2026-06-30,Mexico,Ecuador,95.69539728989113
0.05,8,2026-07-01,Belgium,Senegal,95.40395036751991
0.05,9,2026-07-01,England,DR Congo,95.21099125697319
0.05,10,2026-07-01,United States,Bosnia and Herzegovina,93.70668322136306
0.1,0,,,,100.0
0.1,1,2026-06-28,South Africa,Canada,100.49734103679657
0.1,2,2026-06-29,Brazil,Japan,99.35090034656179
0.1,3,2026-06-29,Germany,Paraguay,98.85145673055688
0.1,4,2026-06-29,Netherlands,Morocco,92.35071649121446
0.1,5,2026-06-30,France,Sweden,91.86709120269546
0.1,6,2026-06-30,Ivory Coast,Norway,92.57926280784112
0.1,7,2026-06-30,Mexico,Ecuador,91.46070667974462
0.1,8,2026-07-01,Belgium,Senegal,90.90360691874025
0.1,9,2026-07-01,England,DR Congo,90.53589302284898
0.1,10,2026-07-01,United States,Bosnia and Herzegovina,87.67500753920088
0.2,0,,,,100.0
0.2,1,2026-06-28,South Africa,Canada,100.99468207359314
0.2,2,2026-06-29,Brazil,Japan,98.69045368641426
0.2,3,2026-06-29,Germany,Paraguay,97.69820667340541
0.2,4,2026-06-29,Netherlands,Morocco,84.84840790585575
0.2,5,2026-06-30,France,Sweden,83.95973400460343
0.2,6,2026-06-30,Ivory Coast,Norway,85.26147846501597
0.2,7,2026-06-30,Mexico,Ecuador,83.2011952798806
0.2,8,2026-07-01,Belgium,Senegal,82.18761540086213
0.2,9,2026-07-01,England,DR Congo,81.52270166910932
0.2,10,2026-07-01,United States,Bosnia and Herzegovina,76.37055469168747
0.3,0,,,,100.0
0.3,1,2026-06-28,South Africa,Canada,101.49202311038971
0.3,2,2026-06-29,Brazil,Japan,98.01866001955739
0.3,3,2026-06-29,Germany,Paraguay,96.54042095502882
0.3,4,2026-06-29,Netherlands,Morocco,77.49414020260525
0.3,5,2026-06-30,France,Sweden,76.27666856823254
0.3,6,2026-06-30,Ivory Coast,Norway,78.05060339445487
0.3,7,2026-06-30,Mexico,Ecuador,75.22154714317406
0.3,8,2026-07-01,Belgium,Senegal,73.84699273208983
0.3,9,2026-07-01,England,DR Congo,72.9508380144345
0.3,10,2026-07-01,United States,Bosnia and Herzegovina,66.0352163799479
0.5,0,,,,100.0
0.5,1,2026-06-28,South Africa,Canada,102.48670518398285
0.5,2,2026-06-29,Brazil,Japan,96.64103166571567
0.5,3,2026-06-29,Germany,Paraguay,94.21192704053345
0.5,4,2026-06-29,Netherlands,Morocco,63.233766202309354
0.5,5,2026-06-30,France,Sweden,61.57804280428656
0.5,6,2026-06-30,Ivory Coast,Norway,63.96486778217211
0.5,7,2026-06-30,Mexico,Ecuador,60.10070356922423
0.5,8,2026-07-01,Belgium,Senegal,58.27029525454496
0.5,9,2026-07-01,England,DR Congo,57.09175030957169
0.5,10,2026-07-01,United States,Bosnia and Herzegovina,48.071407424375074
0.75,0,,,,100.0
0.75,1,2026-06-28,South Africa,Canada,103.73005777597427
0.75,2,2026-06-29,Brazil,Japan,94.85516931067355
0.75,3,2026-06-29,Germany,Paraguay,91.27884474350616
0.75,4,2026-06-29,Netherlands,Morocco,46.258259413979985
0.75,5,2026-06-30,France,Sweden,44.44140853516729
0.75,6,2026-06-30,Ivory Coast,Norway,47.02529702317805
0.75,7,2026-06-30,Mexico,Ecuador,42.76404839965971
0.75,8,2026-07-01,Belgium,Senegal,40.81043558537895
0.75,9,2026-07-01,England,DR Congo,39.57231934576145
0.75,10,2026-07-01,United States,Bosnia and Herzegovina,30.193839425482437
1.0,0,,,,100.0
1.0,1,2026-06-28,South Africa,Canada,104.9734103679657
1.0,2,2026-06-29,Brazil,Japan,92.99838816369812
1.0,3,2026-06-29,Germany,Paraguay,88.32329703668417
1.0,4,2026-06-29,Netherlands,Morocco,30.239498364622698
1.0,5,2026-06-30,France,Sweden,28.655906306335673
1.0,6,2026-06-30,Ivory Coast,Norway,30.877368042405944
1.0,7,2026-06-30,Mexico,Ecuador,27.146719493711835
1.0,8,2026-07-01,Belgium,Senegal,25.493175420959897
1.0,9,2026-07-01,England,DR Congo,24.46195177973952
1.0,10,2026-07-01,United States,Bosnia and Herzegovina,16.73210669711636
