scale,date,home_team,away_team,match_index,outcome,probability,decimal_odds,full_kelly_fraction,scaled_fraction,stake,won,profit,bankroll_before_match
0.05,2026-06-11,Mexico,South Africa,1,draw,0.2373199611902237,4.33,0.008286916502603197,0.0004143458251301599,0.04143458251301599,False,-0.04143458251301599,100.0
0.05,2026-06-11,Mexico,South Africa,1,away,0.1528087854385376,8.5,0.03984995683034261,0.001992497841517131,0.1992497841517131,False,-0.1992497841517131,100.0
0.05,2026-06-11,South Korea,Czech Republic,2,home,0.41847482323646545,2.5,0.030791372060775757,0.001539568603038788,0.15358631020971952,True,0.23037946531457928,99.75931563333528
0.05,2026-06-12,Canada,Bosnia and Herzegovina,3,home,0.6242932677268982,1.75,0.12335095802942912,0.006167547901471456,0.6166912341744487,False,-0.6166912341744487,99.98969509864986
0.05,2026-06-12,United States,Paraguay,4,away,0.33034729957580566,4.0,0.10712973276774089,0.005356486638387045,0.5322901674164467,False,-0.5322901674164467,99.37300386447541
0.05,2026-06-13,Australia,Turkey,5,home,0.37933671474456787,5.0,0.22417089343070984,0.011208544671535493,1.1078605548399354,True,4.431442219359742,98.84071369705896
0.05,2026-06-13,Brazil,Morocco,6,draw,0.29163044691085815,3.75,0.03404151851480657,0.0017020759257403287,0.17577705038463792,True,0.4833868885577543,103.2721559164187
0.05,2026-06-13,Brazil,Morocco,6,away,0.28049856424331665,5.5,0.12060935629738702,0.006030467814869351,0.6227794124261324,False,-0.6227794124261324,103.2721559164187
0.05,2026-06-13,Haiti,Scotland,7,home,0.2152220606803894,5.25,0.030568427899304557,0.001528421394965228,0.15763032209106054,False,-0.15763032209106054,103.13276339255032
0.05,2026-06-14,Germany,Curaçao,9,draw,0.07474882900714874,20.0,0.026051398954893414,0.0013025699477446709,0.13413231370258863,False,-0.13413231370258863,102.97513307045925
0.05,2026-06-14,Germany,Curaçao,9,away,0.03823022544384003,36.0,0.010751089027949742,0.0005375544513974871,0.05535474116527395,False,-0.05535474116527395,102.97513307045925
0.05,2026-06-14,Ivory Coast,Ecuador,10,away,0.4943024218082428,2.5,0.157170703013738,0.0078585351506869,0.8077446121995858,False,-0.8077446121995858,102.78564601559138
0.05,2026-06-14,Netherlands,Japan,11,away,0.38650622963905334,3.75,0.16341758587143637,0.008170879293571819,0.8332491229788825,False,-0.8332491229788825,101.9779014033918
0.05,2026-06-14,Sweden,Tunisia,12,away,0.29885655641555786,4.6,0.1040944887532128,0.00520472443766064,0.5264300434625531,False,-0.5264300434625531,101.14465228041291
0.05,2026-06-15,Belgium,Egypt,13,away,0.16413870453834534,6.5,0.012163923545317217,0.0006081961772658609,0.06119561812780005,False,-0.06119561812780005,100.61822223695036
0.05,2026-06-15,Iran,New Zealand,14,away,0.23917384445667267,4.5,0.021794942872864858,0.001089747143643243,0.10958173253111944,False,-0.10958173253111944,100.55702661882256
0.05,2026-06-15,Saudi Arabia,Uruguay,15,home,0.1457139402627945,7.5,0.014285315687839802,0.0007142657843919901,0.07174617301187815,False,-0.07174617301187815,100.44744488629144
0.05,2026-06-15,Spain,Cape Verde,16,draw,0.08422312140464783,13.0,0.007908381521701813,0.00039541907608509064,0.039690466046600426,True,0.4762855925592051,100.37569871327956
0.05,2026-06-16,Austria,Jordan,18,draw,0.2239833027124405,4.75,0.017045516769091287,0.0008522758384545645,0.08595370948406532,False,-0.08595370948406532,100.85198430583877
0.05,2026-06-16,Austria,Jordan,18,away,0.19757866859436035,8.0,0.08294704982212611,0.004147352491106306,0.4182687283438345,False,-0.4182687283438345,100.85198430583877
0.05,2026-06-16,France,Senegal,19,draw,0.2706391513347626,4.5,0.062250337430409024,0.0031125168715204514,0.3123341018335004,False,-0.3123341018335004,100.34776186801086
0.05,2026-06-16,France,Senegal,19,away,0.2668939232826233,6.5,0.13360190933400934,0.006680095466700467,0.6703326291480374,False,-0.6703326291480374,100.34776186801086
0.05,2026-06-16,Iraq,Norway,20,draw,0.19984084367752075,6.5,0.05435736070979725,0.002717868035489863,0.27006121591634125,False,-0.27006121591634125,99.36509513702933
0.05,2026-06-16,Iraq,Norway,20,home,0.12237484008073807,13.0,0.04923941008746624,0.002461970504373312,0.24463393339161424,False,-0.24463393339161424,99.36509513702933
0.05,2026-06-17,England,Croatia,21,away,0.21437227725982666,5.5,0.03978833887312147,0.0019894169436560738,0.19665466062275305,False,-0.19665466062275305,98.85039998772137
0.05,2026-06-17,Ghana,Panama,22,away,0.4496065378189087,3.2,0.19942769137295815,0.009971384568647908,0.9837144337939518,False,-0.9837144337939518,98.65374532709862
0.05,2026-06-17,Portugal,DR Congo,23,draw,0.19928725063800812,5.25,0.010884250788127674,0.0005442125394063837,0.05315325553634528,True,0.22590133602946744,97.67003089330467
0.05,2026-06-17,Portugal,DR Congo,23,away,0.11832595616579056,11.0,0.030158551782369612,0.0015079275891184806,0.14727933421406844,False,-0.14727933421406844,97.67003089330467
0.05,2026-06-17,Uzbekistan,Colombia,24,draw,0.210953027009964,5.0,0.013691283762454987,0.0006845641881227494,0.06691522720924031,False,-0.06691522720924031,97.74865289512007
0.05,2026-06-17,Uzbekistan,Colombia,24,home,0.1271994560956955,10.0,0.030221617884106107,0.0015110808942053054,0.14770612182412207,False,-0.14770612182412207,97.74865289512007
0.05,2026-06-18,Canada,Qatar,25,draw,0.17691588401794434,6.0,0.012299060821533203,0.0006149530410766602,0.05997884930773293,False,-0.05997884930773293,97.53403154608671
0.05,2026-06-18,Canada,Qatar,25,away,0.11757104098796844,12.0,0.037350226532329216,0.001867511326616461,0.18214590864288413,False,-0.18214590864288413,97.53403154608671
0.05,2026-06-18,Czech Republic,South Africa,26,away,0.23860323429107666,4.33,0.009955556901009589,0.0004977778450504795,0.0484297557018505,False,-0.0484297557018505,97.29190678813609
0.05,2026-06-18,Mexico,South Korea,27,away,0.2852683663368225,4.0,0.04702448844909668,0.002351224422454834,0.22864123812308512,False,-0.22864123812308512,97.24347703243424
0.05,2026-06-18,Switzerland,Bosnia and Herzegovina,28,home,0.6940310597419739,1.5,0.08209317922592163,0.0041046589612960815,0.39821281512178713,True,0.19910640756089357,97.01483579431115
0.05,2026-06-19,Brazil,Haiti,29,draw,0.1163063794374466,10.5,0.023285998325598866,0.0011642999162799433,0.11318618476688287,False,-0.11318618476688287,97.21394220187204
0.05,2026-06-19,Brazil,Haiti,29,away,0.06176772341132164,21.0,0.014856109581887721,0.0007428054790943862,0.07221104891191553,False,-0.07221104891191553,97.21394220187204
0.05,2026-06-19,Scotland,Morocco,30,home,0.20014484226703644,5.5,0.0223992516597112,0.0011199625829855602,0.10866833984590829,False,-0.10866833984590829,97.02854496819324
0.05,2026-06-19,Turkey,Paraguay,31,away,0.31995803117752075,3.75,0.07267004251480103,0.0036335021257400514,0.3521585777555636,True,0.9684360888277999,96.91987662834734
0.05,2026-06-19,United States,Australia,32,draw,0.25669583678245544,4.33,0.03348137335376339,0.0016740686676881694,0.16387175725268427,False,-0.16387175725268427,97.88831271717514
0.05,2026-06-19,United States,Australia,32,away,0.3743690848350525,5.75,0.24265731322137932,0.012132865661068967,1.187665747986195,False,-1.187665747986195,97.88831271717514
0.05,2026-06-20,Ecuador,Curaçao,33,draw,0.14409060776233673,8.0,0.02181783744267055,0.0010908918721335276,0.10531118344068266,True,0.7371782840847786,96.53677521193626
0.05,2026-06-20,Ecuador,Curaçao,33,away,0.06899173557758331,15.0,0.002491145261696407,0.00012455726308482036,0.012024356507433309,False,-0.012024356507433309,96.53677521193626
0.05,2026-06-20,Germany,Ivory Coast,34,away,0.17123129963874817,6.5,0.020546081391247837,0.0010273040695623918,0.09991757561851129,False,-0.09991757561851129,97.2619291395136
0.05,2026-06-21,Belgium,Iran,37,draw,0.24213050305843353,4.5,0.02559636107512883,0.0012798180537564414,0.12434969653876507,True,0.43522393788567776,97.16201156389509
0.05,2026-06-21,Belgium,Iran,37,away,0.2527589797973633,8.5,0.15312684377034505,0.007656342188517253,0.7439056082578512,False,-0.7439056082578512,97.16201156389509
0.05,2026-06-21,New Zealand,Egypt,38,home,0.33096373081207275,5.5,0.1822890043258667,0.009114450216293335,0.8827648535967498,False,-0.8827648535967498,96.85332989352293
0.05,2026-06-21,Spain,Saudi Arabia,39,draw,0.13314707577228546,11.0,0.04646178334951401,0.0023230891674757004,0.22294818004077466,False,-0.22294818004077466,95.97056503992617
