date,home_team,away_team,prob_draw,prob_home,prob_away,home_score,away_score,actual_result,odds_home,odds_draw,odds_away,status,result_source,odds_source,prediction_path
2026-06-11,Mexico,South Africa,0.2373199611902237,0.6098714470863342,0.1528087854385376,2,0,home,1.4,4.33,8.5,ok,martj42/international_results,fotmob:4667751:Betfred_United Kingdom:https://www.fotmob.com/match/4667751,outputs/predictions/2026-06-11/2026-06-11_Mexico_South Africa/predictions.json
2026-06-11,South Korea,Czech Republic,0.2486681193113327,0.41847482323646545,0.33285704255104065,2,1,home,2.5,3.0,2.9,ok,martj42/international_results,fotmob:4667752:Betfred_United Kingdom:https://www.fotmob.com/match/4667752,outputs/predictions/2026-06-11/2026-06-11_South Korea_Czech Republic/predictions.json
2026-06-12,Canada,Bosnia and Herzegovina,0.21531787514686584,0.6242932677268982,0.16038878262043,1,1,draw,1.75,3.4,4.75,ok,martj42/international_results,fotmob:4667757:Betfair UK Sportsbook_UK:https://www.fotmob.com/match/4667757,outputs/predictions/2026-06-11/2026-06-12_Canada_Bosnia and Herzegovina/predictions.json
2026-06-12,United States,Paraguay,0.2658994197845459,0.40375322103500366,0.33034729957580566,4,1,home,2.0,3.1,4.0,ok,martj42/international_results,fotmob:4667771:Betfair UK Sportsbook_UK:https://www.fotmob.com/match/4667771,outputs/predictions/2026-06-11/2026-06-12_United States_Paraguay/predictions.json
2026-06-13,Australia,Turkey,0.24965955317020416,0.37933671474456787,0.3710038661956787,2,0,home,5.0,3.75,1.65,ok,martj42/international_results,fotmob:4667772:Sky Bet_UK:https://www.fotmob.com/match/4667772,outputs/predictions/2026-06-11/2026-06-13_Australia_Turkey/predictions.json
2026-06-13,Brazil,Morocco,0.29163044691085815,0.42787104845046997,0.28049856424331665,1,1,draw,1.65,3.75,5.5,ok,martj42/international_results,fotmob:4667764:Sky Bet_UK:https://www.fotmob.com/match/4667764,outputs/predictions/2026-06-11/2026-06-13_Brazil_Morocco/predictions.json
2026-06-13,Haiti,Scotland,0.2161135971546173,0.2152220606803894,0.5686643719673157,0,1,away,5.25,4.33,1.62,ok,martj42/international_results,fotmob:4667765:Bet365_UK CPM:https://www.fotmob.com/match/4667765,outputs/predictions/2026-06-11/2026-06-13_Haiti_Scotland/predictions.json
2026-06-13,Qatar,Switzerland,0.11266235262155533,0.06391415745019913,0.8234232068061829,1,1,draw,15.0,7.5,1.18,ok,martj42/international_results,fotmob:4667758:Bet365_UK CPM:https://www.fotmob.com/match/4667758,outputs/predictions/2026-06-11/2026-06-13_Qatar_Switzerland/predictions.json
2026-06-14,Germany,Curaçao,0.07474882900714874,0.887021005153656,0.03823022544384003,7,1,home,1.04,20.0,36.0,ok,martj42/international_results,fotmob:4667777:Betfred_United Kingdom:https://www.fotmob.com/match/4667777,outputs/predictions/2026-06-11/2026-06-14_Germany_Curaçao/predictions.json
2026-06-14,Ivory Coast,Ecuador,0.27805590629577637,0.22764155268669128,0.4943024218082428,1,0,home,3.2,2.9,2.5,ok,martj42/international_results,fotmob:4667778:Bet365_UK CPM:https://www.fotmob.com/match/4667778,outputs/predictions/2026-06-11/2026-06-14_Ivory Coast_Ecuador/predictions.json
2026-06-14,Netherlands,Japan,0.24363261461257935,0.3698611259460449,0.38650622963905334,2,2,draw,2.0,3.4,3.75,ok,martj42/international_results,fotmob:4667783:Paddy Power_UK:https://www.fotmob.com/match/4667783,outputs/predictions/2026-06-11/2026-06-14_Netherlands_Japan/predictions.json
